Accession,Gene Symbol
Q9UKT9,IKZF3
Q9ULQ1,TPCN1
Q9Y294,ASF1A
A0A075B6H9,IGLV4-69
A0A286YF46,SCYGR5
A0A597,TRBV5-5
A6NHS7,MANSC4
A6NM03,OR2AG2
O00233,PSMD9
O00411,POLRMT
O15156,ZBTB7B
O15230,LAMA5
O43155,FLRT2
O43194,GPR39
O43240,KLK10
O75113,N4BP1
O95674,CDS2
P01766,IGHV3-13
P02790,HPX
P07327,ADH1A
P0C6P0,NBEAP1
P0C7V9,METTL15P1
P15391,CD19
P16591,FER
P16870,CPE
P23763,VAMP1
P27487,DPP4
P31267,HOXA6
P34932,HSPA4
P36269,GGT5
P45880,VDAC2
P50579,METAP2
P51003,PAPOLA
P55103,INHBC
P62910,RPL32
Q03426,MVK
Q07912,TNK2
Q08AH1,ACSM1
Q11130,FUT7
Q14088,RAB33A
Q14314,FGL2
Q16760,DGKD
Q53G44,IFI44L
Q53HL2,CDCA8
Q5FWF5,ESCO1
Q5T2Q4,CCNYL2
Q68DI1,ZNF776
